case_num,num_var,num_clause,k_sat,trial,bt_dec,bt_state,bt_time,cdcl_dec,cdcl_state,cdcl_time,dpll_dec,dpll_state,dpll_time,scho_dec,scho_state,scho_time
0,1,1,4,0,1,SAT,1855,1,SAT,11156,0,SAT,9397,1,SAT,2830
1,1,1,4,1,1,SAT,604,1,SAT,3688,0,SAT,2557,1,SAT,821
2,1,1,4,2,1,SAT,351,1,SAT,2169,0,SAT,1705,1,SAT,471
3,1,1,4,3,1,SAT,391,1,SAT,2420,0,SAT,2313,1,SAT,333
4,1,1,4,4,1,SAT,297,1,SAT,1972,0,SAT,1632,1,SAT,334
5,1,1,4,5,1,SAT,363,1,SAT,1955,0,SAT,1595,1,SAT,364
6,1,1,4,6,1,SAT,260,1,SAT,1839,0,SAT,1528,1,SAT,498
7,1,1,4,7,1,SAT,267,1,SAT,1836,0,SAT,1456,1,SAT,391
8,1,1,4,8,1,SAT,294,1,SAT,1989,0,SAT,1736,1,SAT,327
9,1,1,4,9,1,SAT,257,1,SAT,1902,0,SAT,1522,1,SAT,330
10,1,1,4,10,1,SAT,267,1,SAT,1926,0,SAT,1588,1,SAT,417
11,1,1,4,11,1,SAT,257,1,SAT,1889,0,SAT,1525,1,SAT,330
12,1,1,4,12,1,SAT,264,1,SAT,1888,0,SAT,1528,1,SAT,394
13,1,1,4,13,1,SAT,264,1,SAT,1895,0,SAT,1475,1,SAT,337
14,1,1,4,14,1,SAT,264,1,SAT,1836,0,SAT,1425,1,SAT,331
15,1,1,4,15,1,SAT,264,1,SAT,1892,0,SAT,1515,1,SAT,394
16,1,1,4,16,1,SAT,264,1,SAT,1845,0,SAT,1509,1,SAT,394
17,1,1,4,17,1,SAT,260,1,SAT,1862,0,SAT,1438,1,SAT,440
18,1,1,4,18,1,SAT,261,1,SAT,1756,0,SAT,1435,1,SAT,404
19,1,1,4,19,1,SAT,260,1,SAT,1769,0,SAT,1531,1,SAT,381
20,1,1,4,20,1,SAT,267,1,SAT,1849,0,SAT,1572,1,SAT,387
21,1,1,4,21,1,SAT,264,1,SAT,1766,0,SAT,1509,1,SAT,380
22,1,1,4,22,1,SAT,264,1,SAT,1766,0,SAT,1505,1,SAT,354
23,1,1,4,23,1,SAT,261,1,SAT,1766,0,SAT,1508,1,SAT,324
24,1,1,4,24,1,SAT,263,1,SAT,1756,0,SAT,1501,1,SAT,380
25,1,1,4,25,1,SAT,271,1,SAT,1758,0,SAT,1505,1,SAT,380
26,1,1,4,26,1,SAT,267,1,SAT,1825,0,SAT,1592,1,SAT,383
27,1,1,4,27,1,SAT,263,1,SAT,1772,0,SAT,1515,1,SAT,350
28,1,1,4,28,1,SAT,267,1,SAT,1835,0,SAT,1592,1,SAT,357
29,1,1,4,29,1,SAT,261,1,SAT,1842,0,SAT,1578,1,SAT,357
30,1,1,4,30,1,SAT,263,1,SAT,1776,0,SAT,1508,1,SAT,351
31,1,1,4,31,1,SAT,264,1,SAT,1772,0,SAT,1509,1,SAT,411
32,1,2,4,0,1,SAT,334,1,SAT,3507,0,SAT,3951,1,SAT,514
33,1,2,4,1,1,SAT,447,1,SAT,2684,0,SAT,3303,1,SAT,491
34,1,2,4,2,1,SAT,284,1,SAT,2299,0,SAT,2363,1,SAT,398
35,1,2,4,3,1,SAT,360,1,SAT,2289,0,SAT,2734,1,SAT,374
36,1,2,4,4,1,SAT,283,1,SAT,2116,0,SAT,2266,1,SAT,374
37,1,2,4,5,1,SAT,283,1,SAT,2049,0,SAT,2286,1,SAT,408
38,1,2,4,6,1,SAT,284,1,SAT,2109,0,SAT,2356,1,SAT,374
39,1,2,4,7,1,SAT,333,1,SAT,2426,0,SAT,3197,1,SAT,520
40,1,2,4,8,1,SAT,310,1,SAT,2189,0,SAT,2336,1,SAT,408
41,1,2,4,9,1,SAT,317,1,SAT,2152,0,SAT,2356,1,SAT,370
42,1,2,4,10,1,SAT,314,1,SAT,2149,0,SAT,2259,1,SAT,354
43,1,2,4,11,1,SAT,317,1,SAT,2146,0,SAT,2209,1,SAT,350
44,1,2,4,12,1,SAT,284,1,SAT,2180,0,SAT,2386,1,SAT,480
45,1,2,4,13,1,SAT,284,1,SAT,2075,0,SAT,2126,1,SAT,351
46,1,2,4,14,1,SAT,284,1,SAT,2036,0,SAT,2105,1,SAT,464
47,1,2,4,15,1,SAT,310,1,SAT,2139,0,SAT,2199,1,SAT,524
48,1,2,4,16,1,SAT,311,1,SAT,2136,0,SAT,2193,1,SAT,350
49,1,2,4,17,1,SAT,284,1,SAT,2053,0,SAT,2175,1,SAT,441
50,1,2,4,18,1,SAT,284,1,SAT,2039,0,SAT,2109,1,SAT,350
51,1,2,4,19,1,SAT,284,1,SAT,2222,0,SAT,2262,1,SAT,478
52,1,2,4,20,1,SAT,283,1,SAT,2122,0,SAT,2236,1,SAT,350
53,1,2,4,21,1,SAT,284,1,SAT,2119,0,SAT,2219,1,SAT,461
54,1,2,4,22,1,SAT,313,1,SAT,2143,0,SAT,2213,1,SAT,460
55,1,2,4,23,1,SAT,313,1,SAT,2226,0,SAT,2753,1,SAT,370
56,1,2,4,24,1,SAT,284,1,SAT,2072,0,SAT,2139,1,SAT,461
57,1,2,4,25,1,SAT,310,1,SAT,2192,0,SAT,2212,1,SAT,454
58,1,2,4,26,1,SAT,280,1,SAT,2136,0,SAT,2756,1,SAT,600
59,1,2,4,27,1,SAT,330,1,SAT,2296,0,SAT,2323,1,SAT,397
60,1,2,4,28,1,SAT,314,1,SAT,2156,0,SAT,2176,1,SAT,377
61,1,2,4,29,1,SAT,287,1,SAT,2053,0,SAT,2176,1,SAT,374
62,1,2,4,30,1,SAT,314,1,SAT,2142,0,SAT,2179,1,SAT,467
63,1,2,4,31,1,SAT,287,1,SAT,2179,0,SAT,2343,1,SAT,377
64,1,3,4,0,1,SAT,364,1,SAT,8116,0,SAT,5146,1,SAT,594
65,1,3,4,1,1,SAT,347,1,SAT,3024,0,SAT,3741,1,SAT,440
66,1,3,4,2,1,SAT,340,1,SAT,2963,0,SAT,3624,1,SAT,534
67,1,3,4,3,1,SAT,301,1,SAT,2583,0,SAT,3070,1,SAT,401
68,1,3,4,4,1,SAT,307,1,SAT,2439,0,SAT,2800,1,SAT,371
69,1,3,4,5,1,SAT,334,1,SAT,2850,0,SAT,3431,1,SAT,378
70,1,3,4,6,1,SAT,303,1,SAT,2836,0,SAT,3557,1,SAT,584
71,1,3,4,7,1,SAT,334,1,SAT,2680,0,SAT,3104,1,SAT,374
72,1,3,4,8,1,SAT,340,1,SAT,2693,0,SAT,3340,1,SAT,534
73,1,3,4,9,1,SAT,337,1,SAT,2613,0,SAT,3354,1,SAT,363
74,1,3,4,10,1,SAT,324,1,SAT,2448,0,SAT,2609,1,SAT,486
75,1,3,4,11,1,SAT,275,1,SAT,2429,0,SAT,2700,1,SAT,332
76,1,3,4,12,1,SAT,321,1,SAT,2495,0,SAT,2700,1,SAT,515
77,1,3,4,13,1,SAT,309,1,SAT,2512,0,SAT,3077,1,SAT,452
78,1,3,4,14,1,SAT,323,1,SAT,2426,0,SAT,2532,1,SAT,329
79,1,3,4,15,1,SAT,278,1,SAT,2391,0,SAT,2638,1,SAT,406
80,1,3,4,16,1,SAT,300,1,SAT,2469,0,SAT,2706,1,SAT,324
81,1,3,4,17,1,SAT,303,1,SAT,2429,0,SAT,2663,1,SAT,423
82,1,3,4,18,1,SAT,309,1,SAT,2414,0,SAT,2543,1,SAT,421
83,1,3,4,19,1,SAT,309,1,SAT,2317,0,SAT,2486,1,SAT,452
84,1,3,4,20,1,SAT,275,1,SAT,2391,0,SAT,2457,1,SAT,400
85,1,3,4,21,1,SAT,309,1,SAT,2497,0,SAT,2657,1,SAT,460
86,1,3,4,22,1,SAT,312,1,SAT,2394,0,SAT,2569,1,SAT,320
87,1,3,4,23,1,SAT,303,1,SAT,2489,0,SAT,3127,1,SAT,323
88,1,3,4,24,1,SAT,281,1,SAT,2477,0,SAT,2797,1,SAT,429
